reference,T5_predict
"enty of words of praise have been offered for the four Marines shot to death in Chattanooga yesterday, but it's a veteran's silent tribute that is resonating online. Ben Kinsey stood on a South Carolina bridge for four hours yesterday with an American flag, an hour for each victim, reports CBS News. He wasn't looking to call attention to the salute: It just so happened that Noah Smith saw Kinsey on the I-20 overpass and stopped to ask what was going on. His subsequent Facebook post has been shared more than 40,000 times. Smith writes that he parked his car and walked to Kinsey, saying, ""'Sir this is really awesome of you but why are you doing this? He replies with 'I'm standing out here for the four Marines killed today in TN. You know they can survive combat and come home during a peaceful time and get killed.'"" Kinsey tells CBS that he shows up on the bridge every Sept. 11 for an 11-hour tribute.","NEWLINE_CHAR NEWLINE_CHAR This time he was honoring the four marines killed in the 9/11 attacks . NEWLINE_CHAR NEWLINE_CHAR Hundreds of people on Facebook said they would like to stand with him next year . NEWLINE_CHAR NEWLINE_CHAR ""I was surprised, but the same time I wasn't,"" degnan said ."
"university has admitted to misplacing a gram of weapons-grade plutonium, and federal authorities want to fine them $8,500. Per CNN, Idaho State University has not been able to account for the bit of radioactive material since 2003 but, nonetheless, believes it was properly stored at a licensed disposal facility. However, with no documented proof, the US Nuclear Regulatory Commission said Friday it must propose the fine. Dr. Cornelis Van der Schyf, vice president for research at the university, blamed partially completed paperwork from 15 years ago as the school tried to dispose of the plutonium. ""Unfortunately, because there was a lack of sufficient historical records to demonstrate the disposal pathway employed in 2003, the source in question had to be listed as missing,"" he said in a statement to the AP. The statement said the plutonium ""poses no direct health issue or risk to public safety."" The plutonium was being used to develop ways to ensure nuclear waste containers weren't leaking and to find ways to detect radioactive material being illegally brought into the US following the Sept. 11, 2001, terrorist attacks. While the missing amount could not be used to make a nuclear bomb, it could be used to create a so-called dirty bomb to spread nuclear contamination. The university, which has 30 days to dispute the proposed fine, reported the plutonium missing on Oct. 13, according to documents released by the Nuclear Regulatory Commission. The agency said a school employee doing a routine inventory discovered the university could only account for 13 of its 14 plutonium sources, each weighing about the same small amount.","NEWLINE_CHAR NEWLINE_CHAR The university reported the plutonium missing on Oct. 13 . the university has 30 days to dispute the proposed fine . the university has been fined $8,500 for the plutonium ."
"uisiana was good to Taylor Swift and now the singer is giving back in the form of a $1 million donation to help victims of the devastating floods that have killed at least 11 people, reports the AP. The 26-year-old says the donation is a big thank you to her “wonderful fans” in Louisiana “who made us feel completely at home” when Swift kicked off her last world tour there. “The fact that so many people in Louisiana have been forced out of their own homes this week is heartbreaking,"" she says in a statement, urging ""those who can to help out and send your love and prayers their way during this devastating time."" The contribution isn’t Swift’s first. Last year the pop idol gave $50,000 each to a young fan battling cancer and an ailing nephew of one of her backup dancers, notes US Weekly. Among others: $50,000 to Philadelphia Children’s Hospital in 2014, and $100,000 to flood relief in Iowa in 2008. (For much more on the scope of the devastating flooding, click here.)",NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR Swift . NEWLINE_CHAR NEWLINE_CHAR The flooding is some of the worst in Louisiana history . the singer has donated $1 million to the state’s disaster relief fund .
"ile his mother was preparing food in the kitchen, a 5-year-old Florida boy called 911 to invite law enforcement officers over for Thanksgiving dinner, the AP reports. Monica Webster of the Walton County Sheriff's Office tells the News Herald that with all the bad calls they receive every day, this was a happy call. But young Billy Nolin's family had no idea he'd invited guests to dinner. Mom Landi McCormick says she was cooking when Billy's grandfather noticed him talking to someone on an old cellphone. McCormick reprimanded Billy when he admitted calling 911. He was crying when Deputy Dannon Byrd drove up. She says the deputy thanked Billy for his kind invitation, then reminded him he should only use 911 for emergencies. The deputies gave Billy a sheriff's badge.","NEWLINE_CHAR NEWLINE_CHAR Billy was preparing for Thanksgiving dinner . NEWLINE_CHAR NEWLINE_CHAR Mom Landi McCormick says he asked him what he wanted to be . he said he asked him if he had called 911, then reminded him he should only use 911 ."
"e wasn't a Target employee, but a woman who sure seemed like one allegedly made off with around $40,000 worth of iPhones from a Virginia store. NBC Washington reports Fairfax County cops are looking for the retail impostor, who they say donned attire resembling a worker's getup, waltzed into the stockroom of the Alexandria location with a box, and loaded the box with dozens of iPhones before taking off. WTOP reports the woman, whose image was caught on tape, seemed to be familiar with how things worked at the store, including employee hours and where the iPhones were stored. Police say the theft occurred March 15, but posted about it on Facebook Monday with a call to ""help us nab an iPhone thief."" (Target recently had a Boston problem.)","NEWLINE_CHAR NEWLINE_CHAR The woman, dressed as an employee of Target, walked into the store and made her way back to the stockroom . NEWLINE_CHAR NEWLINE_CHAR The woman, dressed as an employee of Target, walked into the store and made her way back to the stockroom . NEWLINE_CHAR NEWLINE_CHAR Police released surveillance footage Tuesday of the suspect leaving the store ."
"suspected car bomb rocked the Turkish capital of Ankara today, and al-Jazeera cites reports claiming that at least two people were killed. No one has yet claimed responsibility, but Kurdish rebels have been escalating their decades-long fight for autonomy and attacking Turkish targets. Rebel groups, as well as Islamic and leftist militants, have all previously used bombs in the country. Reports of casualties are conflicting: The AP reports none, but says 15 were injured, including three seriously. Reuters, meanwhile, acknowledges the reports of two deaths but quotes a local mayor who says no one has died, but that three have been seriously injured. A local news agency has reported that a woman was detained near the scene. “I felt the blast effect of the explosion some 500 meters away,” says one witness. “I saw vehicles on fire and an injured man said people lost their limbs.”",": ""I felt the blast effect of the explosion some 500 meters away"" new: police suspect a suspected car bomb exploded in the centre of the city, an official says . new: the blast wounds 15 people, including four Swedish nationals . new: the blast sparked a fire which was later put out by firefighters at the scene ."
"ying a plane must be thirsty work: Police in Newman, Western Australia, say a man who had just purchased a two-seater Beechcraft decided to drive it home and stop for a beer at a pub on the main street on the way. A resident says he was astounded to see the plane, which had no wings or steering wheel, parked outside the Purple Pub. Even more special was ""seeing one of the local coppers poking his head in the door of the plane looking like he was asking for a license,"" he tells ABC Radio. ""Even though no one was in the plane at the time, I was like, what the hell?"" After some initial puzzlement over what, if anything, the driver should be charged with, police settled on a charge of ""endangering life, health, or safety,"" reports WAToday. A police spokesman says the incident is being taken very seriously because there were children walking home from school at the time that the man—who doesn't have a pilot's license—was taxiing through the town, using the plane's foot pedals to steer. He passed a breath test at the scene, but police decided to impound the plane.","NEWLINE_CHAR NEWLINE_CHAR Newman resident says he and his five-year-old daughter watched on as the plane was towed away . police say the plane had no wings and was taxied down the main street to the pub . newman man is set to face a charge of endangering life, health or safety later this month ."
"e search is on in Alabama after two men charged with murder and another charged with armed robbery escaped their shared prison cell. Prior to the escape, one of the three began shouting in the cell, saying a cellmate was ill, the Choctaw County sheriff says. A guard checked up on them to find that one was throwing up, CNN reports. He opened the cell door, and the men attacked him, grabbing his keys and cell phone, the sheriff says. The guard was hospitalized and released after allegedly being choked. Now, authorities are looking for Demarcus Woodard, 23, Gemayel Culbert, 32, and Justin Terrell Gordon, 23, the Choctaw Sun-Advocate reports. ""I've got three bad inmates, two capital murders and one armed robber, who are on foot,"" the sheriff tells AL.com. Dogs followed a trail to a highway near the prison, where officials think the men may have been picked up.",": a report says the inmates attacked the guard by choking him and stole his keys and cell phone . new line_CHAR NEWLINE_CHAR The jail guard was treated and released at a local hospital, sheriff says . new line_CHAR NEWLINE_CHAR The inmates escaped from a rural Alabama county jail early Saturday ."
"'s going to take decades to completely decommission the Fukushima nuclear power plant, but a critical step in that process began in earnest today, reports NBC News. One of the six 136-foot covers draped over one of the plant's nuclear reactors to keep radioactive materials from seeping out is being painstakingly removed. Tepco officials say it will take till the end of 2016 to pry all six covers off, and till at least 2020 to remove the nearly 300 spent fuel rods lurking underneath. The project, which was supposed to commence last July, was previously postponed because of fears of radiation escaping. ""For the safety of Fukushima's residents, we would like the work to proceed with extra care,"" says the chief of a group of monitors overseeing the project. The total cost and time for the entire decommissioning assignment: tens of billions of dollars over 30 years or so, NBC notes. Meanwhile, the Japanese government today approved an increase in compensation payments to Tepco to a total of $57.2 billion, Reuters reports. That's $7.7 billion added onto the $49.5 billion in taxpayer-funded aid that Tepco had previously been approved to receive. (Check out more details about the decommissioning project on Tepco's dedicated website.)",the melted fuel from the wrecked reactors began Tuesday . operators began to remove the first of these covers . they hope to remove the first of these covers by the end of next year . the government plans to cap compensation payouts and speed up reconstruction .
"e hotel maid accusing Dominique Strauss-Kahn of sexual assault has hired a well-known lawyer in France to look for other women who may have fallen prey to the banker, the Telegraph reports. “I was hired to see if we can contact other victims,” Thibault de Montbrial says, explaining that the maid’s US team wanted someone “who had a certain amount of visibility and independence in France, where this is a very complicated case.” The maid’s New York-based lawyer has already appeared on French television once to call for other victims to come forward. Her attorneys can’t directly get involved with the criminal case against the banker, but can help the prosecution. One French legal expert tells France 24 that the move could be a legitimate search for witnesses or “a big communications operation” to show her team is on the offensive.","NEWLINE_CHAR NEWLINE_CHAR The maid has hired a lawyer to help dig up former victims of Strauss-Kahn . NEWLINE_CHAR NEWLINE_CHAR Montbrial has been contacted by the french media . he has pleaded not guilty to attempted rape, sex abuse, a criminal sex act, unlawful imprisonment and forcible touching . he faces up to 25 years in prison if convicted ."
" was the ""little plop"" heard 'round the world. Seth Dixon and Ruth Salas likely thought they'd never find Salas' $3,000 engagement ring again after Dixon accidentally dropped it off a wooden footbridge and into a pond while proposing in Kansas City earlier this month. But thanks to a man WMUR calls a ""Good Samaritan with a heart of gold,"" the couple now has the ring back—and an extra ring from Jimmy Kimmel to boot. That Good Samaritan, Michael Long, also has a metal detector, and so when he heard about the lost ring, he ""thought it would just be nice to get up there, help a random couple out, and find the ring before someone else found it."" Long says it took him hours, spread out over two days, to find the ring in Loose Park Pond, pulling up a couple dozen nails and a toy car before he unearthed what he was looking for on Saturday. Per the Kansas City Star, the ring had already been found when Dixon and Salas appeared on Jimmy Kimmel Live! on Tuesday, where they re-created the ill-fated proposal, then accepted a brand-new diamond ring from Kimmel to replace their lost one. (Long says he got in touch with Dixon in California on Monday.) Dixon said in a Facebook post on Wednesday that they alerted Kimmel's staff about Long's discovery once they found out about it—he noted the ring was found while ""Ruth and I have been in Los Angeles""—and that ""we have been completely honest ... during this entire process."" He also notes Kimmel and Co. still insisted they keep the ring. ""Now for the next adventure to get married on October 21, 2017!!!!"" Dixon wrote.",- - Seth and Ruth's ring fell through the water below. NEWLINE_CHAR NEWLINE_CHAR Seth and Ruth's ring fell through the cracks . NEWLINE_CHAR NEWLINE_CHAR Seth and Ruth's ring fell through the murky water below .
"ere's no doubt about it: The human body goes through major changes in youth and old age. And these biological and social changes may be the reasons behind what researchers are calling less stable personalities at those life stages. In fact, according to a study of almost 4,000 New Zealanders between the ages of 20 and 80, the stability of one's personality increases through youth and into middle age and peaks in our 50s, before we slide back into less stable versions of ourselves, reports Research Digest. As the Smithsonian puts it, ""in some ways, our 80-year-old selves mirror our 20-year-old selves."" Some traits peaked at different times; the most stable traits in one's 30s are extraversion and neuroticism, while in the late 40s and early 50s it is openness, honesty-humility, and conscientiousness. The only trait that showed ""gradually reduced stability"" throughout life was agreeableness; apparently we are simply less and less agreeable as we pack the years on. Still, one's most basic personality—introvert vs. extrovert, for example—tends to remain consistent throughout one's life, even if the stability of traits waxes and wanes, notes the Smithsonian. (Other researchers have even calculated the country's most extroverted city.)",",, and,, and,, and conscientiousness, openness and honesty-humility. NEWLINE_CHAR NEWLINE_CHAR Researchers in New Zealand recruited 4,000 men and women aged 20 to 80 to complete a personality questionnaire twice . new research indicates that our personalities become more stable, or stable, as we get older ."
"esident Trump's social media chief had to post a retraction Sunday after sharing a video that he wrongly believed showed the impact of Hurricane Irma. ""Here is Miami International Airport. STAY SAFE!!"" tweeted White House social media director Dan Scavino, posting a video of flooding at an airport. He was swiftly corrected by Miami International Airport itself, which pointed out that the video was not from the airport, CNN reports. The real location and date of the video has not been verified, though it was posted on YouTube on Aug. 31 with a title suggesting that it is Mexico City's airport. It resurfaced on Twitter Sunday mislabeled as Miami. ""It was among 100s of videos/pix I am receiving,"" Scavino tweeted after being corrected. ""In trying to notify all, I shared - have deleted."" The error was noteworthy because when Scavino shared the video, it was an example of the tweets he said he was sharing with Trump and Vice President Mike Pence hourly, raising questions about the accuracy of his information, the Washington Post reports. The White House declined to comment on how Scavino was verifying posts that he shared with Trump and Pence. Miami International Airport, meanwhile, says it will be closed until at least Tuesday while damage assessment is carried out. (Irma made landfall in Florida for a second time Sunday.)","NEWLINE_CHAR NEWLINE_CHAR The airport replied, ""Thanks, Dan."" NEWLINE_CHAR NEWLINE_CHAR The white house did not respond to questions about why Scavino thought it was, or how he was verifying posts he shared with Trump . NEWLINE_CHAR NEWLINE_CHAR The airport replied, ""Thanks, Dan."" NEWLINE_CHAR NEWLINE_CHAR The white house did not respond to questions about why Scavino thought it was, or how and whether Trump was using that information"
"ments after his guilty verdict, Dr. Conrad Murray was ordered held without bail and escorted from the courtroom in handcuffs, the Los Angeles Times reports. ""Dr. Murray's reckless conduct"" is a threat to public safety, said Judge Michael Pastor. ""This is not a crime involving a mistake of judgment. This is a crime where the end result was the death of a human being."" A Los Angeles jury found Murray guilty of involuntary manslaughter today in the death of pop icon Michael Jackson. One bit of good news for Murray: Jail officers will consider him a ""keep away inmate"" in an effort to protect him behind bars, TMZ reports. In other words, Murray will get his own cell, shower alone, and won't be allowed to mingle with other prisoners. The doctor's lonely spell will be broken on November 29 for sentencing. The Times notes that he faces up to 4 years in state prison and will probably lose his California medical license. (Read about testimony that Murray gave Jackson a propofol dose 40 times higher than the doctor claimed.)","a judge ordered Conrad Murray to jail, just a few minutes after a jury found him guilty in the death of Michael Jackson . NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR 'Michael Jackson got justice,' a witness says . ""this is not a crime involving a mistake of judgment,"" pastor says . ""there is no reason to remand him under these circumstances,"" he says ."
" the words ""pole vaulting"" don't inspire fear in you, they should. That's the upshot of a Vice article about the sport, which succinctly expresses why: ""At 20 feet, a pole vault accident is like someone falling off the roof of their house, while running as fast at they can with a thick pole in their hands."" If that sounds like a brush with death, it quite literally can be: A 2001 study analyzed the 32 catastrophic pole-vault injuries that were reported to the National Center for Catastrophic Sports Injury Research between 1982 and 1998; half the accidents resulted in death, and 6 in permanent disabilities. A follow-up study published in 2012 noted that one safety-related change made in 2003 was an expansion of the landing pad's minimum dimensions. In the 8 years that followed, the study noted only two of the 19 catastrophic injuries were fatal. But the rest weren't pretty: major head injuries and spine or pelvic fractures were among them. And a study of collegiate pole vaulters published this last January found 41% sustained some kind of injury, a figure that researchers saw as suggestive of the fact that ""injuries are very common in experienced vaulters."" The injury stats aren't good, and the potential pay and fame aren't much better. So why the heck do it? Vice talked to US record-holder Brad Walker (one of 18 men to ever clear 6 meters), who sums up vaulters as ""risk-takers, usually with something to prove to themselves ... you won't find a vaulter jumping high who doesn't have at least one screw loose."" As for why they stay with it, Vice points to its highly technical and challenging nature: As you approach the box you're a sprinter; then you're a gymnast. Walker says you need ""significant body control and spatial awareness,"" too.",a single track-and-field season. This study was a prospective cohort study of collegiate athletes participating in pole vault . a total of 135 vaulters from 15 universities took part in the study .
"e new face of Gerber represents a milestone. The company has picked 1-year-old Lucas Warren of Dalton, Georgia, as this year's Gerber Baby—and Lucas is the first child with Down Syndrome selected for the honor, reports People. ""He never meets a stranger,"" says mom Cortney, who tells Today.com that she entered the contest without giving it too much thought. Gerber then chose Lucas out of about 140,000 submissions, calling him a ""perfect fit."" Dad Jason says he hopes the this ""will shed a little bit of light on the special needs community and help more individuals with special needs be accepted and not limited.""","Lucas Warren, 1, has been named Gerber Baby in the 2018 contest . the contest began in 2010 and has more than 140,000 entries . the baby's name is Lucas Warren, a 1-year-old from Dalton, Georgia ."
"parently you can credit Amalia Damonte for Jorge Bergoglio becoming Pope Francis—or perhaps her father, reports the Week. When Bergoglio was just 12, he had a young ""romance"" with Damonte, writing a letter saying they would be married and drawing a picture of the house they would live in. She said he vowed to become a priest if Amalia, who lived near him in a Buenos Aires suburb, rejected the offer. However, Damonte's father wasn't about to stand for his 12-year-old daughter talking to boys, and slapped her for starting to write back. ""I never saw him after that—my parents kept me away from him and did everything possible to separate us,"" says Damonte, adding that ""it was a thing between children and totally pure."" The Telegraph, meanwhile, catches up with the pope's sister, Maria Elena Bergoglio, who says her brother was never jazzed about the prospect of leading the church. ""He didn't want to be pope and when we chatted privately about it, we joked at the prospect and he would say, 'No, please no.'""","76, was elected as the first Latin American pope on Wednesday . new Pope reportedly turned to religion after he was spurned by his childhood sweetheart . new Pope reportedly said ""no, please no"" at prospect of being next Pope ."
"e Pentagon is digging deeper in its push for new air and space technologies as China threatens to unseat the US as king of the skies. Speaking with aerospace experts at the China Aerospace Studies Initiative, Deputy Defense Secretary Robert Work says the US' rival is ""quickly closing the technological gaps,"" per Reuters. Specifically, China is developing highly advanced radar-evading aircraft, reconnaissance planes, missiles, and electronic warfare equipment, Work says, suggesting the US needs to step up its game. That’s becoming increasingly difficult, however, as ""the margin of technological superiority upon which we have become so accustomed ... is steadily eroding,"" Work says. ""As the Department of Defense, we're the hedge force,"" he says. ""We say, 'Look, here are capabilities that we see that the Chinese are developing and it's important for us to be able to counter those.'"" Though he doesn’t exactly dive into what technologies the Pentagon is working on, he says one way we might do that is with directed energy weapons that can shoot down pricey missiles at a low cost. Interestingly, Work’s comments were quickly followed by a Xinhua report noting Chinese military officials are also boosting development of national defense technology. ""The whole of the society should be encouraged to take part in the innovation cause,"" a Chinese official is quoted as saying. (Tension with China is clear at sea as well as in the skies.)",NEWLINE_CHAR NEWLINE_CHAR Work made his remarks at the inaugural conference of the China Aerospace Studies Initiative . NEWLINE_CHAR NEWLINE_CHAR Work said the united states has relied on technological superiority for 25 years . NEWLINE_CHAR NEWLINE_CHAR Work said the united states has relied on technological superiority for the past 25 years .
"dressing a conference in Malmö, Sweden, home of many immigrants, the Dalai Lama said Europe was ""morally responsible"" for helping refugees who are in danger—but that ultimately those refugees should return to their homelands. ""Receive them, help them, educate them ... but ultimately they should develop their own country,"" he said, per the Local. ""I think Europe belongs to the Europeans,"" and that refugees ""ultimately should rebuild their own country,"" he added. The 83-year-old Buddhist spiritual leader and Nobel Peace Prize winner fled Tibet as Chinese communist troops took over the area in 1959, and settled in India, where he was granted asylum, the Daily Caller notes.",the Dalai Lama said Europe belongs to the Europeans . he said the goal of aid should be their return to their homelands . the 83-year-old Tibetan fled the capital Lhasa in fear of his life .
"e best wedding present Kathy and Brandon Gunn received at their Michigan wedding was one they never opened—at least not for nine years. That was because the gift from great-aunt Alison came with a special instruction: ""On the plain white box was a card that read, 'Do not open until your 1st disagreement,'"" Kathy Gunn wrote in a post on the Love What Matters Facebook page, spotted by UPI. “Now, there had obviously been plenty of disagreements, arguments, and slammed doors throughout our 9 years,"" writes Gunn. ""There were even a couple of instances where we both considered giving up ... but we never opened the box."" Doing that, she says, ""would have symbolized our failure."" So the box sat on shelves in various closets through the years, gathering dust. ""It somehow taught us about tolerance, understanding, compromise, and patience,"" writes Gunn in a post that so far has racked up 14,000 likes. Finally, on Aug. 30, after the couple put their kids to bed and had some wine, they decided to crack open the box. Inside, they found wineglasses, envelopes of money, and some advice. To Kathy: Pick up a pizza or ""something you both like,"" and get a bath ready. To Brandon: Go get flowers and a bottle of wine. ""It was by far the greatest wedding gift of all,"" says Kathy. The Huffington Post rounds up photos of the couple here. (A math quiz was enough to tank this couple's marriage.)",",,,,,, and it taught us about tolerance, understanding, compromise and patience. Our marriage strengthened as we became best friends, partners, and teammates. NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR ""Tonight, we tucked our kids in bed and my husband and I enjoyed a glass of wine on the deck.'"
"ere's waking up hungry and there's, well, this. A British cafe has introduced the queen of all breakfasts, a 59-item spread that packs in 7,778 calories. The Corner Cafe's Monster Mega Breakfast comes across as slightly redundant: It contains eggs and omelets, fried potatoes (four portions) and hash browns, and both toast and fried bread. Plus bacon, sausages, mushrooms, chips, onion rings, black pudding, tomatoes, and beans. The meal costs about $22.50 and has a time limit attached: Those attempting to polish it off have an hour to do so if they want to win a place on the wall of champions, a breakfast coupon, and a key ring. They'll be helped (or hindered?) along the way with one of two drinks: their choice of a milkshake or energy drink, reports the Bristol Post. A manager of the Portishead cafe tells the Post that since being launched earlier this month, five people have ordered it and none have finished. Quirky side note: No one under 18 is allowed to order it. The cafe's Facebook page has photos of those who have made the attempt, along with a message to those who have accused it of being wasteful. Its post begins, ""We are just a little family run business who can't save the entire world from famine and starvation!"" Could the 8,000-calorie breakfast be the start of a trend? The Bear Grills cafe in Congleton, England, made a splash a few months ago with the launch of its own 8,000-calorie meal, the 7-pound ""Hibernator."" Sweet tooths may prefer its version, which includes four waffles. More on it here.",years and the food is great. Can't wait to try the Sunday roast that so many people have recommended! NEWLINE_CHAR NEWLINE_CHAR ngs Only (Sold out) Boxing Day - Closed 27th December - Closed 28th December - Closed 29th December - Closed 30th December - Closed New Years Eve - Closed New Years Day - Closed 2nd Jan - Open as normal (7:00am-2:30pm) Merry Christmas Everyone & Happy New Year
"'m a born burglar,"" says Octave Durham, per the New York Times, which looks at a new documentary about Durham's notorious theft of two Vincent Van Gogh paintings. Set to be broadcast Tuesday on Dutch TV, the 45-minute special by filmmaker Vincent Verweij gets the inside scoop on the 2002 heist Durham says took less than four minutes and nabbed him two works the Times deems ""of inestimable value"": Congregation Leaving the Reformed Church in Nuenen and View of the Sea at Scheveningen. Durham, who was convicted for the burglary in 2004 and spent just over two years in prison, says he passed cops in his getaway car and brags that he'd pulled off ""more spectacular jobs than this""—after years of denying he had any involvement in the theft, per Versopolis.com. In one reveal that may insult art lovers everywhere, Durham notes he didn't run off with the Van Goghs because of any particular love for the great master, or for art in general: He did it because it was an opportunity for a big get. ""That's the eye of a burglar,"" he says. Per NLTimes.com, Durham told a Dutch paper over the weekend he'd wanted to steal two other Van Gogh paintings—Sunflowers and The Potato Eaters—but one was too big to slip out and the other was under heavy security, so he and partner Henk Bieslijn settled on the other two. The Times notes the Van Gogh Museum is still ""furious"" with Durham, who didn't get paid for the film, and refused to help Verweij. The filmmaker defends his choice of cinematic subject, noting, ""You never see documentaries or articles about art theft from the perspective of the thief."" (The Van Gogh Museum was pretty stoked when the paintings were recovered.)","aan het museum. he he het museum. het afgelopen jaar de schilderijen te vinden. he he he NEWLINE_CHAR NEWLINE_CHAR he he he he,,,,,,,, in,, but he in, in the Netherlands, and. The paintings"
"ystal Harris and Hugh Hefner didn't tie the knot yesterday, and they didn't mope, either. Hef took to Twitter to share his chin-up attitude: ""This was going to be my wedding day, but life is full of surprises,"" the 85-year-old wrote. ""After all is said & done, staying single is probably for the best."" Single, however, is not code for ""alone."" Perez Hilton reports that exes Karissa and Kristina Shannon (yep, twins) have already moved back into the mansion, which they left a year and a half ago. And TMZ reports that Hef has been cozying up to Miss January 2011. And how did the runaway bride spend her day? Hanging poolside in Las Vegas in a teeny bikini and high heels with a group of friends, one of which was Heidi Montag. But do we detect a hint of sadness in Hugh's voice? A series of tweets posted in rapid succession this afternoon sound a little down. An example: ""The Sunday night Mansion movie is Elle Fanning, Amanda Michalka & Kyle Chandler in JJ Abrams' Super 8. Life goes on.""","NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR You can add location information to your Tweets, such as your city or precise location, from the web and via third-party applications. You always have the option to delete your Tweet location history. Learn more Tweet with a location NEWLINE_CHAR NEWLINE_CHAR You can add location information to your Tweets, such as your city or precise location, from the web and via third-party applications. You always have the option to delete your Tweet location history. Learn more Playboy Twin"
"tention: Miley Cyrus is “not trying to be slutty,” she insists. Sure, she likes to flash a lot of skin (as photos show, she’s recently taken to going pantsless), but that’s just because she feels “more comfortable dressing with a little less,” she tells the AP. “What I'm trying to do is to make a point with my record,"" which is called...wait for it...Can't Be Tamed, ""and look consistent, in the way my record sounds and the way I dress.” And while she says she’s grown into her sex appeal (she is all of 17 now, remember!), “that’s not what I'm trying to do to sell records. I want people to buy my record because of my music.” Meanwhile, Perez Hilton—currently in hot water for posting an upskirt photo of Miley—insists she was wearing underwear in the picture and says he was simply pointing out “she was exiting this car in a very un-ladylike fashion.”","a few days ago after a reported overdose scare . NEWLINE_CHAR NEWLINE_CHAR ""Can't Be Tamed"" is out on Monday . NEWLINE_CHAR NEWLINE_CHAR ""I'm not trying to be 'slutty,'"" says Cyrus ."
" Cent might have stretched the truth a bit in court when he told a lawyer all his Lamborghinis, Bentleys, and Rolls Royces were rented. New bankruptcy filings show he actually owns seven cars, including a Rolls Royce and three Chevy Suburbans, worth $500,000, report People and Page Six. But apparently he still doesn't have a ton of cash to throw around—relatively speaking, anyway. The AP reports the rapper pulls in about $185,000 per month but has $108,000 in monthly expenses, including $72,000 a month for the utilities, mortgage, property tax, and insurance on his 50-room Hartford mansion. Where else is his money going? He spends $9,000 on security, $5,000 on gardening, $1,000 on grooming, and $3,000 on his wardrobe each month. Another $5,745 goes toward a car lease, while $14,600 is used to support his two children and grandfather. On top of all that, he reportedly owes his stylist $5,245 in back pay, as well as unspecified debts to his barber and personal trainer. His biggest debt of all: $18 million to electronics company Sleek Audio—the result of a lawsuit over a failed headphones deal—in addition to the $7 million 50 Cent has been ordered to pay in a sex-tape lawsuit. The rapper is due back in court tomorrow.","he has $25 million in assets, including an $8 million mansion, a $572,000 home in Valley Stream, LI, and an Atlanta home worth $464,000. NEWLINE_CHAR NEWLINE_CHAR The rapper is also claiming $33 million in debts . he's also claiming $33 million in debts, most from the $7 million judgment owed to Lastonia Leviston ."
" everyone wonders whether Conan O’Brien will stay at NBC or move to Fox, the Tonight Show host offered up a few more novel ideas yesterday: Perhaps he’ll “pretend to put my son in a giant foil balloon, then sit back and watch the offers come pouring in!” Watch him deliver the rest of his options on the video above—then check out Jay Leno, who also addressed the drama last night on his show. “NBC says the show performed exactly as they expected it would, and then they canceled it,” Leno said. “Now don’t confuse that with when we were on at late night and we performed better than expected and then they canceled us. That was totally different!” Meanwhile, the Los Angeles Times takes a closer look at Fox’s early talks with Conan—who “would be a very compatible fit for our brand,” says the president of Fox Entertainment.",".. NEWLINE_CHAR NEWLINE_CHAR. NEWLINE_CHAR NEWLINE_CHAR...... NEWLINE_CHAR NEWLINE_CHAR.. NEWLINE_CHAR NEWLINE_CHAR a person’s eye you will pay, specifically if the loan isn’t paid 1 term.. Let us know your favorite!"
"sinkhole that started out the size of a small swimming pool and continued to grow in Florida swallowed a boat, destroyed two homes, and prompted officials to evacuate residents from 10 other homes on Friday, the AP reports. Dramatic video showed the home, north of Tampa in Pasco County, collapsing into the hole on Friday morning. The hole quickly grew to 200 feet wide—about two-thirds the length of a football field—and 50 feet deep. Pasco County Fire Chief Shawn Whited told reporters that no one was at the home when crews arrived just after 7:30am. Someone had called about a ""depression"" under a boat parked in the backyard of a home in Lake Padgett Estates in Land O'Lakes. Within minutes, he said, ""the hole opened up,"" and the boat fell in. Firefighters were able to get two dogs out of the home and retrieve some belongings before the first home started collapsing into the quickly-expanding hole. By early afternoon, the home next door also had been destroyed by the sinkhole. No injuries have been reported. Kevin Guthrie, Pasco County's assistant county administrator for public safety, said 10 other homes in the neighborhood have been tagged unsafe and the residents have been voluntarily evacuated. He said firefighters and deputies helped people get some of their belongings out of their homes. ""It was frightening,"" Guthrie said. ""The people coming out of those houses were frightened. Mother Nature is going to take what Mother Nature takes."" Officials say Duke Energy cut power to about 100 homes in the neighborhood. The American Red Cross is assisting residents who've been displaced.","a sinkhole swallowed part of a home near Tampa, Florida . NEWLINE_CHAR NEWLINE_CHAR MIAMI (AP) — A sinkhole swallowed a boat, destroyed two homes and prompted officials to evacuate residents . NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR ""It was frightening,"" a fire chief said ."
